periodo;Validaciones totales
ene-15;8325035
feb-15;8472410
mar-15;10486899
abr-15;11865691
may-15;11568866
jun-15;11835356
jul-15;11012895
ago-15;11190463
sep-15;12010779
oct-15;12084612
nov-15;11757544
dic-15;10256492
ene-16;8431662
feb-16;8738589
mar-16;11885749
abr-16;11995295
may-16;12360181
jun-16;11741872
jul-16;10547928
ago-16;12609294
sep-16;12343957
oct-16;11790544
nov-16;12060502
dic-16;10426228
ene-17;8868109
feb-17;8675839
mar-17;11613537
abr-17;10685416
may-17;12183256
jun-17;11946404
jul-17;11144855
ago-17;12909382
sep-17;12381058
oct-17;12772260
nov-17;12147124
dic-17;10168721
ene-18;8980459
feb-18;8766166
mar-18;11287428
abr-18;11419466
may-18;11905742
jun-18;10804126
jul-18;10360184
ago-18;11837157
sep-18;10542400
oct-18;11602660
nov-18;10916125
dic-18;9159436
ene-19;7588428
feb-19;7968998
mar-19;9410231
abr-19;9930242
may-19;10746036
jun-19;9962660
jul-19;9586344
ago-19;10809118
sep-19;10663153
oct-19;10868706
nov-19;10262231
dic-19;9229470
ene-20;8102490
feb-20;8177645
mar-20;5734122
abr-20;1404246
may-20;506937
jun-20;2240087
jul-20;214812
ago-20;2260217
sep-20;1003586
oct-20;2699958
nov-20;1867615
dic-20;3884591
ene-21;3738018
feb-21;3939944
mar-21;5374909
abr-21;5262026
may-21;3139227
jun-21;4010917
jul-21;5137961
ago-21;6302704
sep-21;6983397
oct-21;6977641
nov-21;7474189
